Year,Change,AI,Vacancy
1983,,0.26,
1984,0.05,0.24,
1985,0.15,0.26,
1986,0.15,0.35,
1987,0.02,0.34,
1988,0.04,0.29,
1989,0.13,0.37,
1990,0.08,0.36,
1991,0.04,0.29,
1992,0.02,0.24,
1993,0,0.21,
1994,0.03,0.21,
1995,-0.01,0.22,
1996,0.03,0.21,
1997,0.01,0.16,
1998,0.02,0.15,
1999,0.04,0.15,
2000,0.08,0.17,
2001,0.14,0.17,
2002,0.16,0.18,
2003,0.28,0.22,
2004,0.21,0.28,
2005,0.08,0.29,0.009
2006,0.04,0.3,0.002
2007,0.05,0.32,0.033
2008,-0.02,0.34,0.025
2009,0,0.23,0.041
2010,0.06,0.27,0.033
2011,-0.02,0.27,0.029
2012,0.06,0.25,0.026
2013,-0.02,0.22,0.033
2014,0.04,0.21,0.030
2015,0.09,0.22,0.037
2016,0.01,0.22,0.041
2017,0.03,0.21,0.033
2018,0.03,0.21,0.025
2019,0.03,0.2,0.015
2020,0.05,0.16,0.017
2021,0.23,0.2,0.005
2022,0.1,0.22,0.005
